Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Average_DWT,Maximum_DWT
2018S02,S2   2018,608,Philippines,1,Passenger ships,,
2018S02,S2   2018,643,Russian Federation,0,All ships,13878.0,180183.0
2018S02,S2   2018,643,Russian Federation,2,Liquid bulk carriers,19000.0,166468.0
2018S02,S2   2018,643,Russian Federation,7,Liquefied petroleum gas carriers,13080.0,27014.0
2018S02,S2   2018,643,Russian Federation,8,Liquefied natural gas carriers,81634.0,97000.0
2018S02,S2   2018,643,Russian Federation,5,Dry bulk carriers,43010.0,180183.0
2018S02,S2   2018,643,Russian Federation,4,Dry breakbulk carriers,4883.0,53021.0
2018S02,S2   2018,643,Russian Federation,6,Roll-on/ roll-off ships,5950.0,22910.0
2018S02,S2   2018,643,Russian Federation,3,Container ships,,
2018S02,S2   2018,643,Russian Federation,1,Passenger ships,,
2018S02,S2   2018,702,Singapore,0,All ships,,
2018S02,S2   2018,702,Singapore,2,Liquid bulk carriers,,
2018S02,S2   2018,702,Singapore,7,Liquefied petroleum gas carriers,,
2018S02,S2   2018,702,Singapore,8,Liquefied natural gas carriers,,
2018S02,S2   2018,702,Singapore,5,Dry bulk carriers,,
2018S02,S2   2018,702,Singapore,4,Dry breakbulk carriers,,
2018S02,S2   2018,702,Singapore,6,Roll-on/ roll-off ships,,
2018S02,S2   2018,702,Singapore,3,Container ships,,
2018S02,S2   2018,702,Singapore,1,Passenger ships,,
2018S02,S2   2018,724,Spain,0,All ships,13876.0,299999.0
2018S02,S2   2018,724,Spain,2,Liquid bulk carriers,17617.0,299999.0
2018S02,S2   2018,724,Spain,7,Liquefied petroleum gas carriers,8206.0,54656.0
2018S02,S2   2018,724,Spain,8,Liquefied natural gas carriers,77586.0,121963.0
2018S02,S2   2018,724,Spain,5,Dry bulk carriers,43597.0,207672.0
2018S02,S2   2018,724,Spain,4,Dry breakbulk carriers,7253.0,88666.0
2018S02,S2   2018,724,Spain,6,Roll-on/ roll-off ships,7481.0,48988.0
2018S02,S2   2018,724,Spain,3,Container ships,,
2018S02,S2   2018,724,Spain,1,Passenger ships,,
2018S02,S2   2018,752,Sweden,0,All ships,8624.0,164445.0
2018S02,S2   2018,752,Sweden,2,Liquid bulk carriers,13008.0,164445.0
2018S02,S2   2018,752,Sweden,7,Liquefied petroleum gas carriers,7765.0,54481.0
2018S02,S2   2018,752,Sweden,8,Liquefied natural gas carriers,6766.0,20918.0
2018S02,S2   2018,752,Sweden,5,Dry bulk carriers,10668.0,87665.0
